Sample.name,Sample_ID,nm,FF,Freezing.temperature,Particle.ratio,nM_corrected,Control,Filtered,Dilution.factor,Location,Size,Sample
S2_b5_10x,S2_b5,22319.69,0.81,-6.17,1.0,22319.69,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,23890.13,0.83,-6.17,1.0,23890.13,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,15508.68,0.69,-6.13,1.0,15508.68,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,18483.92,0.75,-6.15,1.0,18483.92,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,9809.42,0.52,-6.05,1.0,9809.42,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,4995.91,0.31,-5.84,1.0,4995.91,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,3835.76,0.25,-5.78,1.0,3835.76,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,2768.52,0.19,-5.66,1.0,2768.52,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,860.51,0.06,-5.18,1.0,860.51,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,2430.95,0.17,-5.65,1.0,2430.95,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,3470.44,0.23,-5.75,1.0,3470.44,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,6718.74,0.4,-5.98,1.0,6718.74,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,13839.84,0.65,-6.11,1.0,13839.84,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,51616.02,0.98,-6.27,1.0,51616.02,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,42374.05,0.96,-6.26,1.0,42374.05,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,13077.72,0.63,-6.11,1.0,13077.72,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,27725.89,0.88,-6.21,1.0,27725.89,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,25670.55,0.85,-6.2,1.0,25670.55,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,10402.11,0.54,-6.05,1.0,10402.11,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,11672.92,0.58,-6.1,1.0,11672.92,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,9241.96,0.5,-6.05,1.0,9241.96,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,8697.67,0.48,-6.05,1.0,8697.67,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,4597.87,0.29,-5.83,1.0,4597.87,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,1466.68,0.1,-5.55,1.0,1466.68,No,,10.0,Site2,b_5_m,S2
S2_b5_10x,S2_b5,567.46,0.04,-5.14,1.0,567.46,No,,10.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,24309.54,0.17,-5.86,1.0,24309.54,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,54062.01,0.33,-6.08,1.0,54062.01,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,62667.15,0.38,-6.12,1.0,62667.15,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,130777.23,0.63,-6.23,1.0,130777.23,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,369678.5,0.94,-6.34,1.0,369678.5,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,516160.16,0.98,-6.36,1.0,516160.16,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,331320.89,0.92,-6.32,1.0,331320.89,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,174166.89,0.73,-6.26,1.0,174166.89,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,98094.24,0.52,-6.19,1.0,98094.24,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,81747.26,0.46,-6.14,1.0,81747.26,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,86976.69,0.48,-6.16,1.0,86976.69,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,49959.13,0.31,-6.03,1.0,49959.13,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,38357.61,0.25,-5.95,1.0,38357.61,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,31148.65,0.21,-5.92,1.0,31148.65,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,17804.19,0.13,-5.74,1.0,17804.19,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,2807.12,0.02,-5.16,1.0,2807.12,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,34704.41,0.23,-5.93,1.0,34704.41,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,92419.62,0.5,-6.16,1.0,92419.62,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,123568.27,0.6,-6.23,1.0,123568.27,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,223196.86,0.81,-6.29,1.0,223196.86,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,301568.41,0.9,-6.31,1.0,301568.41,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,277258.87,0.88,-6.31,1.0,277258.87,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,423740.5,0.96,-6.35,1.0,423740.5,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,238901.26,0.83,-6.3,1.0,238901.26,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,184839.25,0.75,-6.27,1.0,184839.25,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,155086.77,0.69,-6.25,1.0,155086.77,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,104021.14,0.54,-6.21,1.0,104021.14,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,76715.22,0.44,-6.14,1.0,76715.22,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,42113.73,0.27,-6.01,1.0,42113.73,No,,100.0,Site2,b_5_m,S2
S2_b5_100x,S2_b5,27685.25,0.19,-5.9,1.0,27685.25,No,,100.0,Site2,b_5_m,S2
